epoch,eval_BLEU_bleuP,eval_ROUGE_rouge1,eval_ROUGE_rouge2,eval_ROUGE_rougeL,eval_loss
0.3,1.3875,14.7666,2.6987,12.4294,3.4996957778930664
0.6,0.869,18.8219,4.2283,16.4614,3.3081705570220947
0.9,0.6536,19.615,4.7475,17.4674,3.2159292697906494
1.2,0.4903,20.0941,5.0165,17.9965,3.161561965942383
1.5,0.3057,21.2029,5.4376,18.9204,3.1199989318847656
1.8,0.2564,21.8703,5.6487,19.4807,3.0915286540985107
2.1,0.2279,21.94,5.7084,19.5849,3.0751700401306152
2.4,0.2191,22.0673,5.7515,19.6667,3.063246250152588
2.7,0.2164,22.1022,5.7545,19.7114,3.0571353435516357
3,0.2084,22.1312,5.7935,19.7503,3.0546560287475586
